"gat_ID";"gat";"gat_date";"gat_date_end";"loc_ID";"loc";"sit_ID";"site";"org_ID";"organizers";"org_spon_ID";"sponsors";"speeches"
95;"Democratic National Convention";"2004-07-26";"";28;"Boston, MA";27;"FleetCenter";0;"";0;"";1
96;"Democratic National Convention";"2004-07-27";"";28;"Boston, MA";27;"FleetCenter";0;"";0;"";1
97;"Democratic National Convention";"2004-07-28";"";28;"Boston, MA";27;"FleetCenter";0;"";0;"";1
98;"Democratic National Convention";"2004-07-29";"";28;"Boston, MA";27;"FleetCenter";0;"";0;"";1
99;"Democratic National Convention";"2008-06-03";"";47;"Saint Paul, MN";0;"";0;"";0;"";1
100;"Democratic National Convention";"2008-08-25";"";5;"Denver, CO";0;"";0;"";0;"";1
101;"Democratic National Convention";"2008-08-26";"";5;"Denver, CO";28;"Pepsi Center";0;"";0;"";1
102;"Democratic National Convention";"2008-08-27";"";5;"Denver, CO";0;"";0;"";0;"";1
103;"Democratic National Convention";"2008-08-28";"";5;"Denver, CO";0;"";0;"";0;"";1
104;"Democratic National Convention";"2012-09-05";"";48;"Charlotte, NC";0;"";0;"";0;"";1
105;"Democratic National Convention";"2012-09-06";"";48;"Charlotte, NC";0;"";0;"";0;"";1
106;"Democratic National Convention (DNC)";"1996-08-27";"";10;"Chicago, IL";29;"United Center";0;"";0;"";1
107;"Democratic National Convention (DNC)";"2016-07-25";"";16;"Philadelphia, PA";30;"Wells Fargo Center";0;"";0;"";1
108;"Democratic National Convention (DNC)";"2016-07-28";"";16;"Philadelphia, PA";30;"Wells Fargo Center";0;"";0;"";1
109;"Dinner for Congressman F.H. LaGuardia";"1923-05-10";"";2;"New York City, NY";31;"Hotel Pennsylvania";0;"";0;"";1
110;"Discussion on the Fugitive Slave Act";"1850-10-04";"";49;"Syracuse, NY";32;"City Hall";0;"";0;"";1
111;"Edwin Rogers Embree Memorial Lectures";"1953-12-08";"";50;"New Orleans, LA";33;"Dillard University";41;"Dillard University";0;"";1
112;"Edwin Rogers Embree Memorial Lectures";"1954-04-00";"";50;"New Orleans, LA";33;"Dillard University";41;"Dillard University";0;"";1
113;"Fiftieth Anniversary of the Emancipation Proc";"1913-05-30";"";51;"Brownsville, PA";0;"";0;"";0;"";1
114;"First Annual Meeting of the American Equal Ri";"1867-05-09";"";2;"New York City, NY";34;"Church of Puritans";42;"American Equal Rights Association";0;"";1
115;"First Mass Meeting of the Montgomery Improvem";"1955-12-05";"";52;"Montgomery, AL";35;"Holt Street Baptist Church";43;"Montgomery Improvement Association";0;"";1
116;"First National Conference for the Repeal of A";"1969-00-00";"";10;"Chicago, IL";0;"";0;"";0;"";1
117;"Founding Conference of the Student Nonviolent";"1960-04-00";"";53;"Raleigh, NC";36;"Shaw University";44;"Student Nonviolent Coordinating Committee";0;"";1
118;"Founding Convention of the National American ";"1890-02-18";"";13;"Washington, D.C.";0;"";45;"National American Woman Suffrage Association";0;"";1
119;"Founding Convention of the National Negro Lab";"1851-10-27";"";54;"Cincinnati, OH";0;"";46;"National Negro Labor Council";0;"";1
120;"Founding Meeting of the Southern Sociological";"1912-05-07";"";18;"Nashville, TN";0;"";47;"Southern Sociological Congress";0;"";1
121;"Founding of the National Afro-American League";"1890-01-00";"";10;"Chicago, IL";0;"";48;"National Afro-American League";0;"";1
122;"Funeral for Captain Paul Cuffe";"1817-10-21";"";2;"New York City, NY";37;"New York African Institution";0;"";0;"";1
123;"Funeral for Medgar Evers";"1963-06-15";"";55;"Jackson, MS";0;"";0;"";0;"";1
124;"Funeral of George Jackson";"1971-08-00";"";56;"Oakland, CA";38;"St. Augustine's Episcopal Church";0;"";0;"";1
125;"Funeral of Octavius V. Catto";"1871-10-16";"";57;"Passyunk, PA";39;"Lebanon Cemetary";0;"";0;"";1
126;"Funeral of Sergeant Joseph Wilson";"1863-09-08";"";10;"Chicago, IL";40;"Bethel Church";0;"";0;"";1
127;"Funeral of William Wilberforce";"1833-12-06";"";16;"Philadelphia, PA";41;"Second African Presbyterian Church";0;"";0;"";1
128;"Future Farmers of America Convention";"1978-11-12";"";58;"Kansas City, MO";0;"";49;"National FFA Organization";0;"";1
129;"Gathering of White Missionaries and Iroquois ";"1805-00-00";"";59;"Buffalo Grove, NY";0;"";0;"";0;"";1
130;"Gay Freedom Day Parade";"1978-06-25";"";4;"San Francisco, CA";32;"City Hall";0;"";0;"";1
131;"Gay Pride Rally";"1977-06-26";"";2;"New York City, NY";0;"";0;"";0;"";1
132;"Graduation of Resistance";"2011-08-22";"";60;"Athens, GA";42;"University of Georgia";0;"";50;"Georgia Undocumented Youth Alliance";1
133;"Illinois Republican State Convention";"1858-06-16";"";61;"Springfield, IL";0;"";0;"";0;"";1
134;"Inauguration as First Lieutenant Governor of ";"1868-07-31";"";62;"Baton Rouge, LA";43;"Louisiana State Capitol";0;"";0;"";1
135;"International Congress of Nurses";"1901-00-00";"";63;"Buffalo, NY";0;"";0;"";0;"";1
136;"International Congress of Women";"1915-04-00";"";64;"The Hague, Netherlands";0;"";0;"";0;"";1
137;"International Convention of the Negro Peoples";"1935-08-00";"";65;"St. Andrew, Jamaica";0;"";0;"";0;"";1
138;"International Design Conference";"1983-00-00";"";66;"Aspen, CO";0;"";0;"";0;"";1
139;"International Human Rights Day";"2011-12-10";"";2;"New York City, NY";0;"";0;"";0;"";1
140;"International Interdemoninational Sunday-scho";"1905-06-27";"";8;"Toronto, Canada";44;"Massey Hall";0;"";0;"";1
141;"International Neo-Malthusian and Birth Contro";"1925-03-12";"";2;"New York City, NY";45;"Scottish Rite Hall";0;"";0;"";1
142;"J.J. Hoey Awards";"1956-10-26";"";2;"New York City, NY";0;"";51;"Catholic Interracial Council of New York";0;"";1
143;"Jewish Currents Conference";"1969-02-15";"";2;"New York City, NY";0;"";0;"";0;"";1
144;"Landon Lecture Series";"2009-04-27";"";67;"Manhattan, KS";46;"Kansas State University";52;"Kansas State University";0;"";1
145;"Lexington Democratic Club Annual Dinner";"1969-05-00";"";2;"New York City, NY";0;"";53;"Lexington Democratic Club";0;"";1
146;"Lincoln Day Banquet";"1899-02-11";"";68;"Dayton, OH";0;"";0;"";0;"";1
147;"March Along South Parkway";"1931-08-15";"";10;"Chicago, IL";0;"";0;"";0;"";1
148;"Mass Meeting";"1960-03-20";"";48;"Charlotte, NC";0;"";0;"";0;"";1
149;"Mass Meeting of the Los Angeles Branch";"1959-05-31";"";26;"Los Angeles, CA";0;"";54;"Los Angeles Branch of the NAACP";0;"";1
150;"Mattachine Society's Third Annual Convention";"1956-05-11";"";4;"San Francisco, CA";0;"";55;"Mattachine Society";0;"";1
151;"May Convention";"1872-05-09";"";2;"New York City, NY";47;"Apollo's Hall";0;"";0;"";1
152;"Meeting of the Board of Directors";"1961-02-10";"";69;"Palm Springs, CA";0;"";56;"National Association of Broadcasters";0;"";1
153;"Meeting of the National Committee";"1956-06-23";"";2;"New York City, NY";0;"";57;"Negro Commission of the Communist Party";0;"";1
154;"Memorial Meeting in honor of Booker T. Washin";"1916-02-11";"";2;"New York City, NY";10;"Carnegie Hall";0;"";0;"";1
