"spe_ID";"spe_type";"spe_desc";"spe_subj";"spe_date";"per_ID";"person";"per_sec_ID";"person_sec";"loc_ID";"loc";"sit_ID";"site";"gat_ID";"gat";"org_spon_ID";"sponsor";"org_ID";"org_to";"public";"press";"radio";"tv";"video";"text";"source_list"
174;"speech";"The Children's Era";"";"1925-03-12";147;"Margaret Sanger";0;"";2;"New York City, NY";45;"Scottish Rite Hall";141;"International Neo-Malthusian and Birth Contro";0;"";0;"";0;0;0;0;"";"";"http://www.americanrhetoric.com/speeches/marg"
175;"speech";"America's Window to the World: Her Race Probl";"";"1956-10-26";148;"John Hope Franklin";0;"";2;"New York City, NY";0;"";142;"J.J. Hoey Awards";0;"";51;"Catholic Interracial Council of New York";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
176;"speech";"The Meaning of Black History";"";"1969-02-15";149;"John Henrik Clarke";0;"";2;"New York City, NY";0;"";143;"Jewish Currents Conference";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
177;"lecture";"Landon Lecture at Kansas State University (Yo";"";"2009-04-27";150;"David Petraeus";0;"";67;"Manhattan, KS";46;"Kansas State University";144;"Landon Lecture Series";0;"";52;"Kansas State University";0;0;0;0;"";"";"http://www.youtube.com/watch?v=a-G0d_ZqyKw&t="
178;"speech";"A New Movement And A New Method";"";"1969-05-00";151;"Julian Bond";0;"";2;"New York City, NY";0;"";145;"Lexington Democratic Club Annual Dinner";0;"";53;"Lexington Democratic Club";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
179;"speech";"The Party of Freedom and the Freedmen - A Rec";"Republican Party";"1899-02-11";152;"William Sanders Scarborough";0;"";68;"Dayton, OH";0;"";146;"Lincoln Day Banquet";0;"";0;"";1;0;0;0;"";"";"https://books.google.com/books?id=ojIA-vJtV_s"
180;"speech";"A Message To Youth";"Youth";"1931-08-15";153;"Robert S. Abbott";0;"";10;"Chicago, IL";0;"";147;"March Along South Parkway";0;"";0;"";1;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
181;"speech";"In Praide of the Sit-In Strikes";"Strikes, Sit-Ins";"1960-03-20";121;"Thurgood Marshall";0;"";48;"Charlotte, NC";0;"";148;"Mass Meeting";0;"";0;"";1;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
182;"speech";"Address at a Mass Meeting of the Los Angeles ";"";"1959-05-31";154;"Medgar Evers";0;"";26;"Los Angeles, CA";0;"";149;"Mass Meeting of the Los Angeles Branch";0;"";54;"Los Angeles Branch of the NAACP";0;0;0;0;"";"";"https://books.google.com/books/about/We_Want_"
183;"speech";"The Homosexual Faces A Challenge";"Gay Rights";"1956-05-11";155;"Ken Burns";0;"";4;"San Francisco, CA";0;"";150;"Mattachine Society's Third Annual Convention";0;"";55;"Mattachine Society";0;0;0;0;"";"";"https://books.google.com/books?id=KdoaEQoc284"
184;"speech";"Proposal to Form a New Party";"Republican Party";"1872-05-09";41;"Elizabeth Cady Stanton";0;"";2;"New York City, NY";47;"Apollo's Hall";151;"May Convention";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books?id=ovDtAAAAMAA"
